Zip,Lat,Lon
6211SE,50.853389,5.689019
6211SG,50.851768,5.689316
6211SH,50.853191,5.688798
6211SJ,50.85181,5.68906
6211SK,50.852535,5.689699
6211SL,50.852395,5.687899
6211SM,50.853009,5.68812
6211SN,50.851673,5.688241
6211SP,50.852698,5.687854
6211SR,50.850971,5.689489
6211ST,50.850726,5.688028
6211SV,50.850186,5.686481
6211SW,50.851072,5.689146
6211SX,50.85087,5.687657
6211SZ,50.850305,5.686328
6211TA,50.850495,5.688957
6211TB,50.850357,5.687393
6211TC,50.849707,5.686691
6211TD,50.849619,5.685873
6211TE,50.847631,5.686864
6211TG,50.848005,5.687355
6211WB,50.854706,5.685738
6211WC,50.854613,5.686861
6211WD,50.854346,5.687649
6211WE,50.854843,5.687912
6211WH,50.85529,5.687679
6211XA,50.854579,5.691863
6211XB,50.854424,5.69215
6211XC,50.853612,5.685758
6211XD,50.853283,5.686131
6211XE,50.853208,5.685806
6211XG,50.853511,5.686566
6211XH,50.852742,5.686663
6211XJ,50.853183,5.686867
6211XK,50.852174,5.68688
6211XL,50.853596,5.685499
6211XN,50.852559,5.683938
6211XP,50.852409,5.684083
6211XR,50.852528,5.683896
6211XS,50.852421,5.684138
6211XX,50.855427,5.68911
6211XZ,50.856789,5.689502
6212AA,50.842057,5.692902
6212AB,50.841579,5.689362
6212AC,50.841562,5.695746
6212AD,50.841045,5.695626
6212AE,50.838637,5.694933
6212AG,50.836569,5.694311
6212AH,50.834599,5.693887
6212AJ,50.830968,5.694928
6212AK,50.829171,5.695618
6212AL,50.827135,5.695858
6212AM,50.841713,5.694565
6212AN,50.840853,5.694802
6212AP,50.841205,5.694202
6212AR,50.841162,5.693219
6212AS,50.840201,5.695523
6212AT,50.84051,5.693124
6212AV,50.8398,5.695736
6212AW,50.840277,5.689727
6212BA,50.840664,5.690371
6212BB,50.84043,5.688251
6212BC,50.841076,5.690572
6212BD,50.840931,5.68959
6212BE,50.84081,5.688802
6212BG,50.840298,5.691284
6212BH,50.841177,5.688447
6212BJ,50.840068,5.688895
6212BK,50.840067,5.688568
6212BL,50.839674,5.692786
6212BM,50.8397,5.690432
6212BN,50.839369,5.688165
6212BP,50.839956,5.690922
6212BR,50.839566,5.688244
6212BS,50.839041,5.689661
6212BT,50.839017,5.689332
6212BV,50.839506,5.691756
6212BW,50.83836,5.690457
6212BX,50.838636,5.690355
6212CA,50.838616,5.692556
6212CB,50.8389,5.693025
6212CC,50.839424,5.694008
6212CD,50.838204,5.694228
6212CE,50.83629,5.693848
6212CG,50.83943,5.693684
6212CH,50.83687,5.693774
6212CJ,50.835198,5.693504
6212CK,50.838741,5.694564
6212CL,50.83788,5.692901
6212CM,50.838083,5.692927
6212CN,50.839245,5.691064
6212CP,50.83824,5.691651
6212CR,50.837004,5.69276
6212CS,50.839088,5.690882
6212CT,50.836825,5.692095
6212CV,50.8356,5.692997
6212CW,50.837223,5.692795
6212CX,50.837424,5.692905
6212CZ,50.835276,5.691258
6212EA,50.835602,5.689429
6212EB,50.835837,5.689065
6212EC,50.836828,5.687725
6212EG,50.836327,5.688556
6212EH,50.836934,5.688344
6212EJ,50.837627,5.688265
6212EK,50.836518,5.689636
6212EL,50.83734,5.68813
6212EM,50.836303,5.689402
6212EN,50.838622,5.687965
6212EP,50.83751,5.69002
6212ER,50.838442,5.687862
6212ES,50.836947,5.690015
6212ET,50.839786,5.687572
6212EV,50.839837,5.687302
6212EW,50.839237,5.687041
6212EX,50.839847,5.686858
6212EZ,50.839973,5.686343
6212GA,50.8404,5.685458
6212GB,50.839557,5.686317
6212GC,50.840859,5.68417
6212GD,50.840194,5.685319
6212GE,50.839164,5.686366
6212GG,50.839031,5.684813
6212GH,50.838182,5.683022
6212GJ,50.839293,5.684732
6212GK,50.838578,5.682404
6212GL,50.840047,5.68427
6212GM,50.839644,5.684095
6212GN,50.83947,5.683797
6212GP,50.839878,5.683413
6212GR,50.840313,5.68297
6212GS,50.840831,5.682962
6212GT,50.839841,5.682603
6212GV,50.838855,5.683957
6212GW,50.839774,5.682172
6212GX,50.838812,5.68358
6212HA,50.839253,5.681795
6212HB,50.839202,5.681325
6212HC,50.839537,5.680761
6212HD,50.837506,5.681415
6212HH,50.838448,5.67915
6212NA,50.818968,5.693894
6212NC,50.830058,5.693867
6212NE,50.827282,5.690952
6212NH,50.837268,5.685942
6212NJ,50.825274,5.67497
6212NK,50.828579,5.672805
6212NL,50.834654,5.674798
6212XA,50.83842,5.685721
6212XB,50.836931,5.683049
6212XC,50.834847,5.681051
6212XD,50.833959,5.68031
6212XE,50.832958,5.679559
6212XG,50.831892,5.678688
6212XH,50.838634,5.685751
6212XJ,50.837946,5.68359
6212XK,50.835082,5.680563
6212XN,50.841391,5.697517
6212XR,50.839104,5.696069
6212XS,50.836635,5.695376
6212XV,50.836028,5.695517
6212XW,50.840678,5.697766
6212XX,50.840297,5.697403
6212XZ,50.839995,5.69719
6213AA,50.841836,5.681246
6213AB,50.841948,5.680139
6213AC,50.842225,5.680414
6213AD,50.841655,5.6802
6213AE,50.841023,5.678646
